0,1,2,3,4
0.0,0.400771450594052,1.0,1.0,4.41293124842934
1.0,0.31023025606089505,1.0,1.0,-4.56571640834288
1.0,-0.21797491465829502,1.0,1.0,11.0970808177014
1.0,0.0745511771737346,1.0,0.0,-2.05746143817567
0.0,0.8641524862258929,2.0,1.0,-6.301057829230929
1.0,0.865779404334488,2.0,1.0,-1.7797198909341698
1.0,0.0721667524147558,0.0,0.0,17.3223869637675
1.0,-0.7815364870547509,2.0,1.0,-10.491009248128199
1.0,0.7540537851845209,1.0,1.0,-6.107372576774599
0.0,-0.828174270396797,1.0,1.0,1.57479547884347
1.0,-1.23627311888329,1.0,1.0,-1.3775012694922701
1.0,-0.352046456582617,1.0,1.0,-11.131485107434099
0.0,1.36065244853001,1.0,1.0,-2.8490348155087
1.0,0.39439484798058505,0.0,0.0,8.267892485216331
1.0,-0.32132484216839,0.0,1.0,-19.5678478418978
1.0,1.07051603677834,2.0,1.0,-4.45505642122027
0.0,-0.20078101558912098,2.0,1.0,-0.332192123310964
1.0,0.11924523642758399,1.0,0.0,1.06497772201071
1.0,-0.951618567265016,1.0,0.0,4.558051989458741
1.0,-0.6470456313182691,1.0,1.0,2.2587922181762496
0.0,1.95072100640115,2.0,0.0,7.31773364128733
1.0,-1.65104889568819,1.0,1.0,-7.10417122207556
0.0,0.589835922958758,2.0,1.0,-20.232311039113604
1.0,-0.16328493222929402,1.0,1.0,-0.8417996647686941
1.0,-0.7849044694570759,0.0,1.0,-2.4965068816887097
1.0,0.27376649103654804,0.0,1.0,15.894691499569301
1.0,0.982113002522641,1.0,1.0,-8.26223863869995
1.0,1.370003993971,0.0,1.0,9.08637825733444
0.0,0.359813827057364,1.0,1.0,6.529475027778469
0.0,0.435288948907682,0.0,0.0,-0.6038655412096441
1.0,-0.4837806257087439,2.0,1.0,-6.707480260532581
1.0,-0.629578742686005,0.0,0.0,3.17911345135436
0.0,-0.322746361825109,2.0,1.0,13.3897466777892
1.0,1.1871868106515602,1.0,0.0,16.3464035479982
1.0,-0.359975117943056,2.0,0.0,-0.659814597136106
1.0,0.7422970241865179,1.0,1.0,-13.855579904314698
1.0,-0.7913138788194699,1.0,0.0,-19.4601344555199
0.0,0.189426237514811,0.0,0.0,-2.36110187036619
1.0,-0.6347482649089089,0.0,0.0,-5.87684756585901
0.0,-0.70100361225327,1.0,1.0,4.2706912773909504
1.0,1.36813264802863,1.0,1.0,-1.9657220700095501
0.0,0.118144511046681,1.0,1.0,4.55966217539027
0.0,-0.0273469664137418,1.0,1.0,-9.204848780725982
1.0,-2.11120837326053,1.0,1.0,-5.79026452784536
1.0,1.05418102337692,2.0,0.0,0.0415968001844305
0.0,0.497850478229239,2.0,1.0,-11.7260886019801
0.0,0.16532102124204998,2.0,0.0,13.451800190221698
0.0,-0.502323453109302,2.0,0.0,-9.874211493954551
1.0,0.6165678174774339,1.0,0.0,-11.081606733805302
0.0,0.837787044494525,1.0,1.0,-2.6303398223064502
0.0,1.22096370834882,1.0,1.0,8.37445481389698
0.0,0.7128423200311129,2.0,0.0,-7.2775332596874405
0.0,-0.51606383094478,0.0,1.0,17.9497795592676
1.0,-2.15764633501528,0.0,0.0,-7.743152495881031
1.0,2.57544976372339,1.0,0.0,10.852958809298599
0.0,-0.37560287166977296,2.0,0.0,-12.533359353124402
1.0,0.0026916612301209103,0.0,1.0,9.677967882476901
0.0,-0.38022652028776205,2.0,1.0,1.9566450356004097
1.0,0.260361490736558,1.0,1.0,-13.910169828162301
1.0,-0.262197489402468,0.0,0.0,-16.633605848706
1.0,-1.0959962670746601,0.0,0.0,-4.938831008452361
1.0,-0.41458872636367405,1.0,0.0,-21.819581340989398
1.0,2.55302611346059,2.0,1.0,-4.45919957955063
1.0,-0.402884835299076,2.0,0.0,-0.599182013481885
1.0,-1.75106751939608,2.0,0.0,18.3415571752355
1.0,0.0560167332749619,2.0,0.0,8.46271470268007
1.0,-0.741336096272828,2.0,0.0,-16.057180576203
1.0,0.0192592746253708,0.0,0.0,-0.6654521101086049
1.0,-0.645113956859792,0.0,0.0,7.920594778802741
1.0,-1.85557165391804,1.0,0.0,0.25379301455784303
1.0,0.45735733162533,2.0,0.0,-1.5155253441238898
0.0,0.562267345403066,2.0,1.0,3.4089489859831397
1.0,-1.99274848868858,2.0,0.0,9.81698772648436
0.0,0.9112096767713199,2.0,0.0,-0.583631400767486
0.0,1.13133721341418,1.0,0.0,-1.6757803378387999
0.0,-0.10188325571522198,2.0,1.0,1.83485516942061
1.0,0.0912673834882354,0.0,1.0,-7.99226924512563
0.0,-1.6866933107424098,1.0,1.0,-8.235167265187041
1.0,-0.8752554774955159,2.0,1.0,4.9463129762884
1.0,-0.752688968217742,2.0,0.0,-1.8533228968386497
1.0,0.605370668930333,2.0,0.0,-3.7035070411506004
1.0,-1.0241287906049101,2.0,1.0,1.21572314820453
0.0,-0.205299257468199,1.0,1.0,4.04690656237582
1.0,-0.971994211475933,1.0,0.0,-2.29828765324043
1.0,-1.2601552447581101,1.0,1.0,-10.6381135183874
0.0,-0.895363357977542,2.0,1.0,3.91720547858095
1.0,1.2356934623001399,2.0,0.0,-10.3872776071744
1.0,0.142458432045787,0.0,1.0,2.77587578066646
0.0,0.250247821348331,2.0,1.0,9.472306756917119
0.0,0.817659446374088,1.0,0.0,-10.155647481514801
1.0,-0.028395054749065,0.0,1.0,-0.3768281177062371
0.0,0.6220332358710601,1.0,1.0,16.0352059838129
1.0,-0.36835257512650604,2.0,0.0,-6.73715819136411
1.0,0.118849433004561,1.0,0.0,-0.153078731923365
1.0,0.164840867918466,1.0,1.0,-2.10170159621664
1.0,-0.0936367939110456,1.0,1.0,-7.80618213906196
1.0,-1.0396803527020402,1.0,1.0,7.88403786030499
0.0,-0.00406065343634058,2.0,1.0,10.9476867868607
0.0,1.7795029097751498,1.0,0.0,-16.1232868794999
1.0,-0.12270866097738,0.0,1.0,14.6178591517648
1.0,-0.08856511213888402,0.0,0.0,9.00869339749533
1.0,0.0597499373846007,0.0,1.0,2.2273568903497
1.0,-0.6880086164673579,1.0,1.0,2.35749032414043
0.0,0.426464221476814,1.0,1.0,-10.932174365248802
1.0,-0.996838982378005,2.0,1.0,-11.7171869923338
1.0,-0.461038338884354,1.0,1.0,-2.43098209585093
1.0,-1.1373036206657399,2.0,1.0,-3.2135841866097796
0.0,0.52491427931929,1.0,1.0,6.61712776915951
0.0,1.21001051044026,1.0,1.0,0.9234296402046379
1.0,-1.3538343357226001,0.0,1.0,11.1000382848242
1.0,-1.09955094170275,0.0,0.0,1.7464337496006497
1.0,-0.2014581469715,2.0,0.0,13.1664471072918
0.0,0.0547365250574253,2.0,0.0,17.8330681833913
1.0,-0.20791727801959897,0.0,0.0,6.5272261340154305
1.0,1.3785701369592402,0.0,0.0,3.94970677706016
1.0,-0.574394552184383,1.0,1.0,-2.2925472528313398
1.0,0.31048074944313697,2.0,0.0,2.83600225800619
0.0,1.99721338474797,2.0,1.0,12.3467013989917
1.0,1.2538149210699299,1.0,1.0,-11.291095427377698
0.0,0.778860029783535,0.0,0.0,20.0824039746518
