"Y","X1","X2","X3","X4"
1,-0.560475646552213,0,0,-5.11603722189581
1,0.070508391424576,1,1,12.1922764704307
0,1.71506498688328,1,1,-6.15268316096478
1,0.460916205989202,1,1,-18.0689296408533
1,-0.445661970099958,0,1,-5.60762421131065
0,0.400771450594052,1,1,4.41293124842934
1,-0.555841134754075,2,0,-2.77975085155337
0,0.497850478229239,2,1,-11.7260886019801
1,-1.96661715662964,0,0,-0.48876767973659
1,-0.217974914658295,1,1,11.0970808177014
1,-0.72889122929114,0,0,1.40655531724984
1,-0.625039267849257,0,1,-5.34616652198382
0,0.153373117836515,1,1,-0.696018363603779
0,0.426464221476814,1,1,-10.9321743652488
1,0.895125661045022,1,0,5.87559463498313
0,0.821581081637487,0,1,-9.07934699241847
1,0.688640254100091,1,0,1.27038606349588
1,-0.0619117105767217,2,0,11.9520647042577
0,-0.380471001012383,1,1,-3.12280694434521
1,-0.207917278019599,0,0,6.52722613401543
1,-0.466655353623219,0,1,-0.210075354337069
1,-0.0833690664718293,1,1,-9.94479836178391
1,-0.028546755348703,0,0,-3.47027822807086
1,-0.0428704572913161,2,1,8.34095065661453
1,1.36860228401446,0,0,15.2988221249492
1,-1.54875280423022,1,0,-0.704153139057291
0,0.123854243844614,2,1,2.18495462278797
0,-0.502323453109302,2,0,-9.87421149395455
1,-1.07179122647558,0,0,1.80822010712195
1,0.303528641404258,0,1,-5.60241851130579
1,0.0530042267305041,1,1,3.73684804430444
0,0.922267467879738,2,1,-20.6371425739842
1,1.00573852446226,1,0,-8.00527545484263
1,-0.688008616467358,1,1,2.35749032414043
0,-0.284773007051009,1,1,8.71229240582207
1,-0.138891362439045,0,1,-7.87182478973486
0,0.38528040112633,1,0,-10.7790734011295
1,-0.370660031792409,1,1,2.50077353605602
0,0.644376548518833,0,0,-1.1977403121588
1,0.331781963915697,1,0,-23.2076377558186
0,1.09683901314935,1,1,-13.2432071149579
0,0.435181490833803,2,0,-1.31307112462703
0,-0.325931585531227,1,1,-8.7803515301306
1,1.14880761845109,1,0,-7.96768930311008
1,0.238731735111441,0,0,-10.4384462163877
0,1.36065244853001,1,1,-2.8490348155087
1,0.25688370915653,1,1,3.87820244768823
1,0.607964322225033,1,0,-7.66214222789801
1,0.301153362166714,0,1,-7.87135594929695
1,0.105676194148943,2,0,-3.84798672297195
1,-0.640706008305376,0,1,3.30680560251943
1,-0.849704346033582,1,1,-5.5462045006283
1,-1.02412879060491,2,1,1.21572314820453
