"Category 1","Category 2","Category 3"
0.0274239780749597,0.00923220758420186,0.00932977319106984
0.00890683424980721,0.004271843634341,0.0110864529297337
0.00907880993524188,0.0179240011396317,0.0314500485104039
0.00206959213291179,0.0216927137307135,0.0235334396749339
0.0078489839659662,0.00568215781852796,0.00769256697058405
0.00267431195056104,0.00431606973650937,0.00929843802057133
0.000560781487153934,0.0194102642833202,0.0196292650427805
0.0213353298101706,0.0066269298513886,0.00847284251127059
0.0135132497260124,0.0255047878934255,0.0408770863168166
0.0146410534111668,0.00502640688776238,0.0121976275857891
0.000593706427777214,0.00858593294853474,0.00966150265729978
0.00112888465491401,0.0115348999332449,0.0125048724927075
0.00122210410794419,0.0142814595236793,0.014834346330868
0.00658455730088881,0.00624432686703581,0.0113788680382198
0.00418890933087583,0.0251551854683362,0.0284657311083086
0.0102832959354178,0.00883924802767615,0.0215812052484298
0.000418720144990807,0.00395977772471341,0.00416795919992795
0.0284930992083209,0.0103679142840528,0.00998800202874213
0.0010171707459884,0.00763850250594069,0.00859874966082842
0.023064771139588,0.00762692572584372,0.0169853561431906
0.0100249464700967,0.00732717851874085,0.0183554810644436
0.0333440910777422,0.00811522211858032,0.0234767314284738
0.0201700328450147,0.00975838665843208,0.0119999611287514
0.0224224742548987,0.00647848128653853,0.0108192248426946
0.0158877889757651,0.00461088433334561,0.0153010958933808
0.0147119662959156,0.0183500155077382,0.0230912080560848
0.00151430973867882,0.0069020676654585,0.00941544575907392
0.00191637353789826,0.00422138956556987,0.00723898985370451
0.0373708089466654,0.0168212407882291,0.0172889824644958
0.00136851663040541,0.00652530636247321,0.00766239795415796
0.000360160252479988,0.00745532332391101,0.0075798712158322
0.0101830165581394,0.00666436900988291,0.00732903457778197
0.00208827635110607,0.024551922219152,0.0271169527734905
0.0167538601242049,0.00567720420795792,0.0257704857235923
0.00906985128893513,0.00831173060606421,0.0152019614809138
0.00324386684382605,0.0234189325552152,0.0269356382268255
0.00449115703532493,0.0106317649488907,0.0144981078068254
0.00452011755742822,0.0186001634120234,0.0227232228246986
0.0119899663217932,0.00961022009224374,0.0190938245053792
0.00409885244670699,0.00731379562428646,0.0107477568530081
0.0120012929184104,0.00448513377958754,0.0187884909534951
0.0168301648253566,0.0103535535238796,0.0128696044466145
0.0101343898194371,0.00766553875785825,0.0123618161301122
0.000913808432399926,0.00449820182324167,0.00612716073577954
0.000740825906746662,0.00721555992467401,0.00832064703613107
0.00189744332625552,0.00990114839577522,0.0126790510565857
0.00443532321820369,0.0132837914652759,0.0178380466807047
0.0164818099053649,0.00536059337795126,0.011924940896572
0.0155371648916024,0.0155740335327394,0.0242584448341559
0.00122067911611685,0.0265775525609503,0.0273198280987356
0.00139607276253636,0.00903618522864847,0.0112520304378775
0.0292839828195855,0.0115155904963427,0.0103628941364421
0.0225482031328019,0.00127453776962408,0.0220360249942657
0.0190507143917017,0.0145610274888484,0.0406144578670455
0.0085340391685198,0.00918529509841522,0.0150036028892674
0.00111677583440373,0.00765384356740745,0.00847314787066541
